No	Eng	Kor
439	We celebrated our successful science fair project with a small pizza party. 	 우리는 작은 피자 파티를 열어 성공적인 과학 박람회 프로젝트를 축하했어.
440	Let's take the dog to the grassy park so he can run freely. 	 강아지가 마음껏 뛰어놀 수 있게 잔디 공원에 데려가자.
441	I need to untangle my earphones before plugging them into my phone. 	 휴대전화에 꽂기 전에 이어폰 줄부터 풀어야 해.
442	Always remember to be kind and thoughtful toward everyone you meet today. 	 오늘 만나는 모든 사람에게 항상 친절하고 배려심 넘치게 대하는 것을 기억해.
443	We observed different types of cloud formations during our science field trip. 	 우리는 과학 현장체험학습 동안 다양한 형태의 구름들을 관찰했어.
444	I always check the bus arrival time on my smartphone app before walking out. 	 집을 나서기 전에 항상 스마트폰 앱으로 버스 도착 시간을 확인해.
445	We gathered colorful fallen autumn leaves to make a seasonal art craft. 	 우리는 계절 미술 작품을 만들기 위해 알록달록한 가을 낙엽들을 모았어.
446	I'm going to chop some carrots and onions for the vegetable soup. 	 야채수프에 넣을 당근과 양파를 좀 썰게.
447	Always wear bright clothing or reflective gear when riding your bicycle at dusk. 	 해 질 녘에 자전거를 탈 때는 항상 밝은 옷이나 반사 장비를 착용해야 해.
448	Drinking sufficient water during high-intensity exercise prevents dehydration. 	 고강도 운동을 하는 동안 충분한 물을 마시면 탈수를 예방할 수 있어.
449	Don't leave your bicycle unlocked when parking it in front of the store. 	 가게 앞에 자전거를 주차할 때 잠금장치를 풀린 채로 두지 마.
450	Can you recommend an entertaining documentary about deep-sea marine creatures? 	 심해 해양 생물에 관한 재미있는 다큐멘터리 한 편 추천해 줄 수 있어?
451	Don't forget to turn off the kitchen gas burner when the soup starts boiling. 	 국이 끓기 시작하면 가스레인지 불을 끄는 거 잊지 마.
452	Having a balanced diet helps your body maintain high energy levels all day. 	 균형 잡힌 식단을 유지하는 것은 하루 종일 높은 에너지 수준을 유지하는 데 도움이 돼.
453	You should always speak in a polite tone when answering the telephone. 	 전화를 받을 때는 항상 정중한 어조로 말해야 해.
454	We should encourage our friends whenever they try something challenging. 	 친구들이 도전적인 일을 시도할 때마다 우리는 서로 격려해 주어야 해.
455	I'm almost done folding my laundry and putting it away. 	 빨래 개서 정리하는 거 거의 다 끝났어.
456	Let's set a goal to read at least one chapter book every week. 	 매주 적어도 챕터북 한 권씩은 읽는 것을 목표로 세우자.
457	I think I left my water bottle at the soccer field. 	 축구장에 물병을 두고 온 것 같아.
458	I usually stretch my arms and legs before going for a jog. 	 나는 보통 조깅하러 가기 전에 팔다리 스트레칭을 해.
459	I want to learn how to do a kickflip on my skateboard. 	 스케이트보드로 킥플립 기술을 하는 법을 배우고 싶어.
460	Let's practice passing the soccer ball with both our left and right feet. 	 왼발과 오른발을 모두 사용해서 축구공을 패스하는 연습을 하자.
461	Let's choose an interesting mystery novel from the top shelf of the bookcase. 	 책장 맨 위 선반에서 흥미로운 추리 소설을 한 권 골라보자.
462	Don't touch the glass kettle when the water inside is boiling hot. 	 안의 물이 펄펄 끓고 있을 때는 유리 주전자를 만지지 마.
463	Do you want to go camping in the mountains or near the beach? 	 산으로 캠핑 가고 싶어, 아니면 바닷가 근처로 가고 싶어?
464	I always double-check my study planner before going to bed every evening. 	 매일 저녁 잠자리에 들기 전에 학습 플래너를 항상 다시 한번 확인해.
465	We decided to donate our old toys and winter clothes to the charity center. 	 우리는 오래된 장난감과 겨울옷을 자선 단체에 기부하기로 결정했어.
466	Could you show me how to adjust the seat height on this exercise bike? 	 이 헬스 자전거의 안장 높이 조절하는 방법 좀 알려줄래?
467	Can you help me find my missing sports water bottle around the living room? 	 거실 주변에서 잃어버린 운동용 물병 찾는 것 좀 도와줄래?
468	We should protect our eyes from ultraviolet rays by wearing protective sunglasses. 	 자외선 차단 선글라스를 착용하여 자외선으로부터 눈을 보호해야 해.
469	I usually check the nutrition facts on the snack package before eating. 	 나는 간식을 먹기 전에 보통 포장지에 적힌 영양 성분표를 확인해.
470	I felt very proud after completing the challenging jigsaw puzzle all by myself. 	 어려운 직소 퍼즐을 혼자 힘으로 완성하고 나니 정말 뿌듯했어.
471	I made a delicious strawberry banana smoothie for my afternoon snack. 	 오후 간식으로 맛있는 딸기 바나나 스무디를 만들었어.
472	I want to build a sandcastle near the water at the beach. 	 해변가 물 근처에서 모래성을 쌓고 싶어.
473	Could you show me the easiest way to peel this ripe mango? 	 이 잘 익은 망고 껍질을 가장 쉽게 벗기는 법 좀 보여줄래?
474	Which character skin did you unlock in the online battle game? 	 온라인 대전 게임에서 어떤 캐릭터 스킨을 해금했어?
475	It is crucial to check all the safety equipment before going rock climbing. 	 암벽 등반을 가기 전에 모든 안전 장비를 점검하는 것은 대단히 중요해.
476	You should express your gratitude whenever someone offers valuable assistance. 	 누군가가 귀중한 도움을 주었을 때는 항상 감사의 뜻을 표현해야 해.
477	I usually read through the entire instruction booklet before building Lego sets. 	 나는 보통 레고 세트를 만들기 전에 설명서 전체를 먼저 읽어봐.
478	Can you show me how to safely cross a busy intersection using hand signals? 	 복잡한 교차로에서 손을 들고 안전하게 건너는 법을 보여줄 수 있어?
479	We should protect wild animals by keeping natural parks clean and litter-free. 	 자연공원을 깨끗하고 쓰레기 없게 유지하여 야생 동물을 보호해야 해.
480	Can you help me tie a sturdy knot to secure this camping rope? 	 이 캠핑 로프를 고정할 수 있게 튼튼한 매듭 묶는 것 좀 도와줄래?
481	Could you turn down the volume of the TV a little bit? 	 TV 볼륨 좀 살짝 낮춰줄 수 있어?
482	Always cover your mouth with your elbow whenever you cough or sneeze. 	 기침이나 재채기를 할 때는 항상 팔꿈치로 입을 가려야 해.
483	Let's set a realistic daily goal to improve our reading speed gradually. 	 읽기 속도를 점진적으로 향상시키기 위해 현실적인 하루 목표를 세우자.
484	Please keep your voice at a moderate level inside the reading room. 	 열람실 안에서는 목소리를 알맞은 크기로 낮춰 줘.
485	Can you describe the personality of your favorite fictional superhero? 	 네가 가장 좋아하는 가상의 슈퍼히어로 성격을 설명해 줄 수 있어?
486	I need to refill my water bottle before we begin our hike. 	 하이킹을 시작하기 전에 물병을 다시 채워야 해.
487	Could you pass me that blue folder with the clear cover? 	 투명 커버가 달린 파란색 서류철 좀 건네줄래?
488	I want to improve my drawing skills by sketching various objects every single day. 	 매일 다양한 사물을 스케치하면서 그림 실력을 늘리고 싶어.
489	I feel so much better after drinking a cup of warm chamomile tea. 	 따뜻한 카모마일 차 한 잔을 마시고 나니 한결 기분이 좋아졌어.
490	Don't forget to lock the front door when you leave the house. 	 집 나갈 때 현관문 잠그는 거 잊지 마.
491	It is essential to wear safety goggles whenever handling chemical substances. 	 화학 물질을 다룰 때는 항상 보안경을 착용하는 것이 필수적이야.
492	Can you identify the strange constellation shining brightly in the eastern sky? 	 동쪽 하늘에서 밝게 빛나는 저 낯선 별자리가 무엇인지 알아볼 수 있어?
493	I always keep my study materials organized so I can study without distractions. 	 방해받지 않고 집중할 수 있도록 공부 자료들을 항상 정돈해 둬.
494	Can you introduce yourself briefly to the new members of our hobby club? 	 우리 취미 동아리의 신입 회원들에게 간단히 자기소개를 해줄 수 있어?
495	I made a delicious vegetable salad dressed with olive oil and fresh lemon juice. 	 올리브유와 신선한 레몬즙을 곁들인 맛있는 채소 샐러드를 만들었어.
496	You must follow all the safety rules while conducting experiments in the lab. 	 실험실에서 실험을 진행하는 동안 모든 안전 규칙을 반드시 따라야 해.
497	Let's take a peaceful morning stroll along the lake to enjoy the fresh breeze. 	 시원한 바람을 쐬며 호숫가를 따라 평화롭게 아침 산책을 하자.
498	I am planning to participate in the local marathon race this coming autumn. 	 이번 다가오는 가을에 지역 마라톤 대회에 참가할 계획이야.
499	We learned how recycling plastic waste helps reduce environmental pollution. 	 우리는 플라스틱 쓰레기를 재활용하는 것이 어떻게 환경오염을 줄이는지 배웠어.
500	Let's sit under this big tree to cool off in the shade. 	 그늘에서 땀 좀 식히게 이 큰 나무 아래 앉자.
501	Can you describe what kind of invention you would like to create in the future? 	 미래에 어떤 발명품을 만들어보고 싶은지 설명해 줄 수 있어?
502	I feel refreshed and full of energy after sleeping for eight solid hours. 	 8시간을 푹 자고 났더니 개운하고 에너지가 넘쳐.
503	I decided to spend fifteen minutes organizing my bedroom closet every morning. 	 매일 아침 15분 동안 방 옷장을 정리하기로 결심했어.
504	Let's celebrate our hard work by eating delicious fruit ice cream together. 	 다 함께 맛있는 과일 아이스크림을 먹으며 우리의 노력을 축하하자.
505	We planted several trees around the community center to improve the environment. 	 우리는 환경을 개선하기 위해 주민센터 주변에 나무를 여러 그루 심었어.
506	The sudden change in weather caused many people to catch a seasonal cold. 	 갑작스러운 날씨 변화 때문에 많은 사람이 환절기 감기에 걸렸어.
507	I prefer drinking plain water over sugary soda to stay healthy and fit. 	 건강을 유지하기 위해 당분이 든 탄산음료보다는 생수를 마시는 편이야.
508	I made a nutritious sandwich with whole grain bread, boiled eggs, and lettuce. 	 통곡물 빵, 삶은 달걀, 양상추로 영양가 있는 샌드위치를 만들었어.
509	You should wash your hands before touching any food. 	 음식 만지기 전에 손부터 씻어야 해.
510	We observed how tiny caterpillar slowly transforms into a beautiful butterfly. 	 우리는 작은 애벌레가 어떻게 아름다운 나비로 변해가는지 관찰했어.
511	We decided to create a handwritten thank-you card for our parents. 	 우리는 부모님을 위해 손글씨로 쓴 감사 카드를 만들기로 결정했어.
512	I am determined to learn how to play the acoustic guitar this year. 	 올해 통기타 연주하는 법을 꼭 배우겠다고 다짐했어.
513	I need to vacuum the living room carpet because there are breadcrumbs on it. 	 빵가루가 떨어져 있어서 거실 카펫을 청소기로 밀어야 해.
514	Can you measure the length and width of this wooden table with a ruler? 	 자를 사용해서 이 나무 탁자의 길이와 너비를 측정해 줄 수 있어?
515	Did you hear the funny joke that our friend told us earlier? 	 아까 우리 친구가 해준 웃긴 농담 들었어?
516	Let's check the weather forecast before we decide to go out. 	 외출하기 전에 일기예보부터 확인해 보자.
517	I usually sleep with a small nightlight on in my bedroom. 	 나는 보통 침실에 작은 무드등을 켜두고 자.
518	I like to listen to peaceful nature sounds when I want to relax. 	 마음을 편안하게 하고 싶을 때 평화로운 자연의 소리를 듣는 것을 좋아해.
519	We decided to prepare homemade granola bars using oats, honey, and nuts. 	 우리는 오트밀, 꿀, 견과류로 집에서 직접 그래놀라 바를 만들기로 했어.
520	Let's make a nutritious smoothie with frozen berries, yogurt, and milk. 	 냉동 베리, 요거트, 우유로 영양 가득한 스무디를 만들어보자.
521	Let's plant some mint and basil seeds in the herb garden. 	 허브 텃밭에 민트와 바질 씨앗을 심어보자.
522	Could you peel this orange for me because my fingers are sticky? 	 손이 끈적거리는데 이 오렌지 껍질 좀 까줄 수 있어?
523	Don't stand too close to the edge of the subway platform. 	 지하철 승강장 가장자리에 너무 가까이 서 있지 마.
524	I am eager to learn different foreign languages to travel around the world. 	 나는 세계 곳곳을 여행하기 위해 다양한 외국어를 배우고 싶어.
525	Please remember to zip up your jacket so you don't catch a cold. 	 감기 걸리지 않게 겉옷 지퍼 꼭 잠그는 거 잊지 마.
526	I am curious to learn how ancient astronomers mapped the stars in the night sky. 	 고대 천문학자들이 밤하늘의 별자리를 어떻게 지도로 그렸는지 배우고 싶어.
527	Let's bake some homemade blueberry scones for our afternoon family tea time. 	 오후 가족 티타임을 위해 집에서 블루베리 스콘을 구워보자.
528	We observed how tiny worker ants cooperate to carry heavy pieces of food. 	 우리는 작은 일개미들이 무거운 먹이를 나르기 위해 어떻게 협동하는지 관찰했어.
529	I forgot to set a daily reminder on my smartphone for my dentist appointment. 	 스마트폰에 치과 진료 예약 알림 설정을 깜빡했어.
530	Let's take the stairs instead of waiting for the elevator. 	 엘리베이터 기다리지 말고 계단으로 올라가자.
531	Always check the expiration date on dairy products before purchasing them. 	 유제품을 구매하기 전에는 항상 유통기한을 확인해.
532	It takes effort and consistency to develop good daily reading habits. 	 좋은 매일의 독서 습관을 기르려면 꾸준한 노력과 지속성이 필요해.
533	I am determined to read at least ten pages of an English storybook every evening. 	 매일 저녁 영어 동화책을 적어도 열 쪽씩 읽기로 결심했어.
534	We should take an umbrella with us just in case it rains later today. 	 오늘 늦게 비가 올 수도 있으니 만약을 위해 우산을 챙기자.
535	I accidentally deleted my favorite photo album from my digital device. 	 디지털 기기에서 내가 가장 좋아하던 사진 앨범을 실수로 삭제했어.
536	I can smell fresh popcorn popping in the kitchen. 	 주방에서 갓 튀긴 팝콘 냄새가 나.
537	I like watching funny animal videos on the tablet before bed. 	 자기 전에 태블릿으로 재미있는 동물 영상을 보는 걸 좋아해.
538	I'm trying to learn how to ride a skateboard without falling over. 	 안 넘어지고 스케이트보드 타는 법을 배우려고 연습 중이야.
539	Let's plant some sunflower and tomato seeds in the sunny corner of the garden. 	 정원의 볕이 잘 드는 구석에 해바라기와 토마토 씨앗을 심어보자.
540	Can you pass the salt and pepper shaker across the table? 	 식탁 건너편에 있는 소금이랑 후추통 좀 건네줄래?
541	Could you help me fold these clean towels and put them in the bathroom closet? 	 이 깨끗한 수건들을 개어서 욕실 수납장에 넣는 것 좀 도와줄래?
542	I decided to drink a glass of warm milk with honey to help me fall asleep. 	 잠이 잘 오도록 꿀을 탄 따뜻한 우유 한 잔을 마시기로 했어.
543	We are out of paper towels, so we should add them to our shopping list. 	 키친타월이 다 떨어졌으니 장보기 목록에 추가해야겠어.
544	Could you tell me where the nearest emergency exit is located? 	 가장 가까운 비상구가 어디에 있는지 알려주실 수 있나요?
545	Can you help me measure the perimeter of this wooden flower box? 	 이 나무 화단의 둘레를 재는 것 좀 도와줄 수 있어?
546	I need to charge my wireless mouse because the red indicator light is flashing. 	 빨간색 표시등이 깜빡이는 걸 보니 무선 마우스를 충전해야겠어.
547	It is essential to wear safety knee pads when riding a fast scooter. 	 빠른 킥보드를 탈 때는 안전 무릎 보호대를 착용하는 것이 필수적이야.
548	Don't leave your wet towel crumpled up on the floor. 	 젖은 수건을 바닥에 구겨서 내버려 두지 마.
549	We decided to split into two groups to finish the cleaning faster. 	 우리는 청소를 더 빨리 끝내기 위해 두 모둠으로 나누기로 결정했어.
550	You should always speak with polite manners when talking to elders. 	 어른들과 대화할 때는 항상 예의 바른 태도로 말해야 해.
551	Could you pass me that roll of sticky tape from the top shelf of the bookcase? 	 책장 맨 위 선반에 있는 접착테이프 좀 건네줄래?
552	Don't forget to take off your muddy boots before walking onto the carpet. 	 카펫 위로 걸어가기 전에 진흙 묻은 장화를 벗는 거 잊지 마.
553	Don't forget to wipe down the dining table after finishing lunch. 	 점심 식사를 마친 후에는 식탁을 행주로 닦는 거 잊지 마.
554	I need to set my alarm clock for 7 AM so I don't oversleep. 	 늦잠 자지 않도록 알람 시계를 오전 7시로 맞춰야 해.
555	Let's look up the bus schedule online so we don't wait too long at the stop. 	 정류장에서 너무 오래 기다리지 않도록 버스 시간표를 인터넷으로 확인하자.
556	Please close the refrigerator door properly so the cold air doesn't escape. 	 찬 공기가 빠져나가지 않게 냉장고 문 잘 닫아줘.
557	Let's write down a clear checklist so we don't forget any supplies. 	 준비물을 빠뜨리지 않도록 명확한 체크리스트를 작성해 보자.
558	Could you pass me that wooden cutting board on the kitchen counter? 	 싱크대 조리대 위에 있는 그 나무 도마 좀 건네줄래?
559	I want to learn how to swim backstroke this summer vacation. 	 이번 여름방학에 배영하는 법을 배우고 싶어.
560	Let's pack some fresh fruit slices and whole wheat sandwiches for our picnic. 	 소풍 갈 때 먹을 신선한 과일 조각들과 통밀 샌드위치를 챙기자.
561	Having regular physical exercise keeps your muscles and bones strong and healthy. 	 규칙적인 신체 운동은 근육과 뼈를 튼튼하고 건강하게 유지해 줘.
562	It is important to wash raw vegetables thoroughly before preparing a salad. 	 샐러드를 준비하기 전에 생채소를 깨끗하게 씻는 것은 중요해.
563	Could you pass me that wooden ruler so I can measure the exact length? 	 정확한 길이를 잴 수 있게 저 나무 자 좀 건네줄래?
564	You should always apologize sincerely when you hurt someone's feelings. 	 누군가의 마음을 상하게 했을 때는 항상 진심으로 사과해야 해.
565	Let's take a short break to drink water and do a quick stretching routine. 	 물도 마시고 간단한 스트레칭도 할 겸 잠깐 휴식을 취하자.
566	Let's take a group selfie together with the sunset in the background. 	 노을을 배경으로 다 같이 단체 셀카 찍자.
567	We worked collaboratively to build a miniature solar-powered toy car. 	 우리는 태양광으로 움직이는 장난감 자동차를 만들기 위해 함께 협동했어.
568	It takes dedication and regular practice to build strong athletic endurance. 	 강한 체력을 기르기 위해서는 꾸준한 노력과 규칙적인 운동이 필요해.
569	We enjoyed watching colorful butterflies flutter around the blossoming flowers. 	 우리는 활짝 핀 꽃들 주위를 팔랑거리며 날아다니는 알록달록한 나비들을 즐겁게 구경했어.
570	Can I have a slice of pepperoni pizza and a cup of water, please? 	 페퍼로니 피자 한 조각이랑 물 한 잔 주시겠어요?
571	I need to wipe down the dining table after finishing lunch. 	 점심 다 먹고 나서 식탁을 행주로 닦아야 해.
572	Can you show me how to adjust the brightness setting on this tablet? 	 이 태블릿의 화면 밝기 설정 조절하는 방법 좀 알려줄 수 있어?
573	Let's practice reciting the English poem so we can memorize it smoothly. 	 부드럽게 외울 수 있도록 영어 시를 소리 내어 낭독하는 연습을 하자.
574	Can you help me measure the width of this wooden bookshelf with a tape measure? 	 줄자로 이 나무 책장의 너비를 재는 것 좀 도와줄래?
575	I decided to reduce my screen time and read more adventure novels instead. 	 화면 보는 시간을 줄이고 대신 모험 소설을 더 많이 읽기로 결심했어.
576	I like spreading strawberry jam and butter on warm toasted bread. 	 따뜻하게 구운 식빵에 딸기잼과 버터를 발라 먹는 걸 좋아해.
577	I like adding a scoop of vanilla ice cream to warm apple pie. 	 따뜻한 애플파이에 바닐라 아이스크림 한 스쿱 얹어 먹는 걸 좋아해.
578	It is important to stay focused on one task at a time to be productive. 	 생산성을 높이려면 한 번에 한 가지 일에 집중하는 것이 중요해.
579	We decided to create a homemade recipe book with our favorite snack dishes. 	 우리는 우리가 가장 좋아하는 간식 요리들을 모아 직접 요리책을 만들기로 했어.
580	Setting realistic daily goals helps you stay motivated and achieve great success. 	 현실적인 하루 목표를 세우는 것은 동기를 유지하고 큰 성공을 이루는 데 도움이 돼.
581	I prefer reading historical fiction stories rather than watching television. 	 나는 텔레비전을 보는 것보다 역사 소설책을 읽는 것을 더 좋아해.
582	Could you help me look for my missing drawing compass under the bed? 	 침대 밑에서 없어진 제도용 컴퍼스 찾는 것 좀 도와줄래?
583	We learned how trees produce clean oxygen and absorb carbon dioxide from the air. 	 우리는 나무가 깨끗한 산소를 만들고 공기 중의 이산화탄소를 흡수한다는 것을 배웠어.
584	I like to eat fresh fruits like watermelon and peaches in summer. 	 나는 여름에 수박이나 복숭아 같은 신선한 과일 먹는 걸 좋아해.
585	I managed to solve the challenging crossword puzzle without looking at any clues. 	 힌트를 전혀 보지 않고 어려운 십자말풀이를 혼자서 풀어냈어.
586	Let's arrange our schedule so we have plenty of free time this weekend. 	 이번 주말에 자유 시간을 넉넉히 가질 수 있도록 일정을 조율해 보자.
587	Could you pass me that wooden cutting board on the kitchen counter? 	 싱크대 조리대 위에 있는 저 나무 도마 좀 건네줄래?
588	I am very interested in learning how robotic vacuums navigate around rooms. 	 로봇 청소기가 방 안을 어떻게 인식하고 돌아다니는지 배우는 데 관심이 많아.
589	I decided to drink warm water with honey instead of sugary carbonated drinks. 	 달콤한 탄산음료 대신 꿀을 탄 따뜻한 물을 마시기로 결정했어.
590	I always wash my hands with warm water and soap right after coming home. 	 집에 돌아오자마자 항상 따뜻한 물과 비누로 손을 씻어.
591	Can you show me how to assemble this miniature robot kit? 	 이 미니어처 로봇 조립 키트 어떻게 조립하는지 보여줄래?
592	Let's organize the messy bookshelf according to book genres and sizes. 	 지저분한 책장을 책의 장르와 크기별로 깔끔하게 정리하자.
593	Don't touch the kettle because the boiling water inside is extremely hot. 	 안에 든 끓는 물이 매우 뜨거우니 주전자를 만지지 마.
594	I am confident that consistent daily effort leads to remarkable progress. 	 꾸준한 매일의 노력이 놀라운 발전으로 이어진다고 확신해.
595	Could you explain the proper way to recycle these empty glass bottles? 	 이 빈 유리병들을 올바르게 분리수거하는 방법을 설명해 줄 수 있어?
596	Let's write down a checklist of all the necessary supplies for our hike. 	 등산에 필요한 모든 준비물 목록을 체크리스트로 작성해 보자.
597	Let's watch the sunset from the rooftop terrace before dinner. 	 저녁 먹기 전에 옥상 테라스에서 노을 지는 걸 보자.
598	I always review new vocabulary words before going to sleep at night. 	 나는 밤에 잠들기 전에 항상 새로운 어휘 단어들을 복습해.
599	We should reduce our electricity usage by turning off lights when leaving rooms. 	 방을 나갈 때 전등을 끔으로써 전력 소비를 줄여야 해.
600	Let's prepare a simple snack with sliced cucumbers, tomatoes, and cheese cubes. 	 얇게 썬 오이, 토마토, 깍둑썰기한 치즈로 간단한 간식을 준비하자.
601	Could you pass me a napkin so I can wipe my fingers? 	 손가락 좀 닦게 냅킨 한 장만 건네줄래?
602	You need to wipe down your sports shoes before placing them into the shoe cabinet. 	 신발장에 넣기 전에 운동화를 깨끗이 닦아야 해.
603	You need to wipe down your sports shoes before putting them in the shoe rack. 	 운동화를 신발장에 넣기 전에 먼저 닦아야 해.
604	Don't forget to put your wet umbrella in the umbrella stand. 	 젖은 우산은 우산꽂이에 꽂아두는 거 잊지 마.
605	Can you show me how to adjust the strap length on this lightweight backpack? 	 이 가벼운 배낭의 어깨끈 길이를 어떻게 조절하는지 보여줄래?
606	Can you give me some helpful advice on how to improve my public speaking? 	 대중 연설 실력을 어떻게 향상시킬 수 있는지 유용한 조언 좀 해줄래?
607	We observed a variety of colorful tropical fish at the city aquarium. 	 우리는 시립 아쿠아리움에서 다양한 색깔의 열대어들을 관찰했어.
608	Let's create a clear weekly study schedule to manage our time more effectively. 	 시간을 더 효율적으로 관리하기 위해 명확한 주간 학습 계획표를 만들자.
609	Can you explain the main difference between renewable and non-renewable resources? 	 재생 가능 자원과 재생 불가능 자원의 주요 차이점을 설명해 줄 수 있어?
610	Let's go to the department store to look for a birthday gift. 	 생일 선물을 고르러 백화점에 가보자.
611	Can you remind me to bring my sports bag before we leave? 	 우리 출발하기 전에 운동 가방 챙기라고 나한테 알려줄래?
612	Let's pack some healthy sandwiches and sliced oranges for our outdoor picnic. 	 야외 소풍을 위해 건강한 샌드위치와 썬 오렌지를 챙기자.
613	It is important to develop good study habits early during elementary school. 	 초등학교 시절에 좋은 공부 습관을 일찍 형성하는 것은 중요해.
614	I love discovering hidden gems of nature while hiking along the mountain trail. 	 산길을 하이킹하는 동안 자연의 숨겨진 명소들을 발견하는 것을 좋아해.
615	Could you tell me where I can find the nearest pedestrian overpass? 	 가장 가까운 보도 육교가 어디에 있는지 알려주실 수 있나요?
616	The botanical garden features rare species of tropical plants from South America. 	 그 식물원은 남아메리카에서 온 희귀한 열대 식물 종들을 전시하고 있어.
617	I always wear a warm scarf when the winter wind blows hard. 	 겨울바람이 세게 불 때는 항상 따뜻한 목도리를 둘러.
618	We should turn off all electrical switches before going on our family vacation. 	 가족 여행을 떠나기 전에 모든 전등 스위치를 꺼야 해.
619	It is polite to say thank you whenever someone holds the door open for you. 	 누군가 문을 열어줄 때 감사하다고 말하는 것은 예의 바른 행동이야.
620	Let's explore the mysterious nature trail located behind the neighborhood park. 	 동네 공원 뒤편에 있는 신비로운 자연 산책로를 탐험해 보자.
621	I usually eat an apple or a banana as a healthy after-school snack. 	 나는 보통 방과 후 건강 간식으로 사과나 바나나를 먹어.
622	Can you explain why leaves change color and fall during autumn? 	 가을에 나뭇잎의 색이 변하고 왜 떨어지는지 설명해 줄 수 있어?
623	I always appreciate when someone offers to help me with heavy luggage. 	 무거운 짐을 드는 것을 누군가 도와주겠다고 할 때 항상 고마움을 느껴.
624	You should dry your sneakers completely in the shade after washing them. 	 운동화를 빤 후에는 그늘에서 완전히 말려야 해.
625	Can I borrow your umbrella until tomorrow afternoon? 	 내일 오후까지 네 우산 좀 빌려 써도 될까?
626	Don't forget to wipe down the dining counter after preparing lunch. 	 점심을 준비하고 난 뒤에는 식탁 조리대를 행주로 닦는 거 잊지 마.
627	The heavy rain caused a major traffic jam on our way to the amusement park. 	 폭우로 인해 놀이공원으로 가는 길에 극심한 교통 체증이 발생했어.
628	I prefer using reusable cloth bags instead of single-use plastic bags. 	 나는 일회용 비닐봉지 대신 재사용 가능한 천 가방을 사용하는 것을 선호해.
629	Let's clean the dirty bicycle frame using a soft sponge and warm water. 	 부드러운 스펀지와 따뜻한 물로 더러워진 자전거 프레임을 닦자.
630	Let's go to the park and fly a kite since it's windy today. 	 오늘 바람이 부니까 공원에 가서 연 날리자.
631	You should always check the pedestrian light before stepping onto the crosswalk. 	 횡단보도로 발을 내딛기 전에 항상 보행자 신호등을 확인해야 해.
632	Don't leave your wet clothes piled up inside the laundry basket for too long. 	 젖은 옷을 빨래 바구니 안에 너무 오래 쌓아두지 마.
633	I prefer natural daylight over artificial lighting when reading in my bedroom. 	 침실에서 책을 읽을 때는 인공조명보다 자연 채광을 더 선호해.
634	You should always wear knee pads and elbow guards while roller skating. 	 롤러스케이트를 탈 때는 항상 무릎 보호대와 팔꿈치 보호대를 착용해야 해.
635	Can you teach me the basic steps of this traditional folk dance? 	 이 전통 민속춤의 기본 동작들을 나한테 가르쳐줄 수 있어?
636	We learned how ancient merchants traded silk and spices along the trade routes. 	 우리는 고대 상인들이 무역로를 따라 비단과 향신료를 어떻게 거래했는지 배웠어.
637	You should drink plenty of water after exercising to prevent muscle fatigue. 	 근육 피로를 예방하려면 운동 후에 물을 충분히 마셔야 해.
638	Can you pass me a pair of kitchen tongs so I can grab the toast? 	 토스트 집게 좀 건네줄래?
639	I try to stay calm and focused whenever I take an important school exam. 	 중요한 학교 시험을 치를 때마다 항상 침착하고 집중된 상태를 유지하려고 노력해.
640	Can you help me sort out the recyclable plastics from the regular trash? 	 일반 쓰레기에서 재활용 플라스틱을 분리하는 것 좀 도와줄래?
641	Don't touch wild plants or mushrooms that you find in the woods. 	 숲속에서 발견한 야생 식물이나 버섯은 함부로 만지지 마.
642	Could you pass me that small screwdriver to tighten the loose screw? 	 헐거워진 나사를 조이게 저 작은 드라이버 좀 건네줄래?
643	We should hurry up so we don't miss the beginning of the movie. 	 영화 시작 부분을 놓치지 않으려면 서둘러야겠어.
644	I usually drink a cup of warm barley tea before heading to sleep. 	 나는 보통 잠자리에 들기 전에 따뜻한 보리차 한 잔을 마셔.
645	Let's take a short walk around the neighborhood park to get some fresh air. 	 신선한 공기를 마시기 위해 동네 공원을 가볍게 산책하자.
646	I am confident that our sports team will win the championship match tomorrow. 	 나는 내일 우리 스포츠팀이 결승전 경기에서 승리할 것이라 자신해.
647	What kind of music do you like listening to when you relax? 	 쉴 때 어떤 종류의 음악을 듣는 걸 좋아해?
648	Let's clean the dirty bicycle frame with a damp cloth and warm soapy water. 	 젖은 천과 따뜻한 비눗물로 더러워진 자전거 프레임을 닦자.
649	Don't leave your bicycle unlocked when stopping by the convenience store. 	 편의점에 들를 때 자전거를 잠그지 않은 채로 두지 마.
650	Don't forget to pack a portable raincoat in case of sudden showers. 	 갑작스러운 소나기에 대비해 휴대용 우비를 챙기는 것을 잊지 마.
651	Let's check the movie showtimes online before heading over to the cinema. 	 영화관으로 출발하기 전에 인터넷으로 영화 상영 시간을 확인하자.
652	I love the smell of freshly mown grass after the lawn is cut. 	 잔디를 깎고 난 뒤에 나는 싱그러운 풀 냄새가 너무 좋아.
653	Can we stop by the bakery to buy some fresh bread? 	 신선한 빵 좀 사러 빵집에 들를 수 있을까?
654	Which shoes match better with this striped T-shirt? 	 이 줄무늬 티셔츠에는 어느 신발이 더 잘 어울려?
655	Let's research different renewable energy sources for our group assignment. 	 우리 모둠 과제를 위해 다양한 재생 에너지원에 대해 조사해 보자.
